[2023-09-16T15:53:57+0200] [PACMAN] Running 'pacman -Rs gnome'
[2023-09-16T15:54:00+0200] [ALPM] transaction started
[2023-09-16T15:54:00+0200] [ALPM] removed xdg-user-dirs-gtk (0.11-2)
[2023-09-16T15:54:00+0200] [ALPM-SCRIPTLET] Removed "/etc/systemd/user/default.target.wants/xdg-user-dirs-update.service".
[2023-09-16T15:54:00+0200] [ALPM] removed xdg-user-dirs (0.18-1)
[2023-09-16T15:54:00+0200] [ALPM] removed totem (43.0-2)
[2023-09-16T15:54:00+0200] [ALPM] removed sushi (44.2-1)
[2023-09-16T15:54:00+0200] [ALPM] removed gtksourceview4 (4.8.4-1)
[2023-09-16T15:54:00+0200] [ALPM] removed gst-plugin-gtk (1.22.5-2)
[2023-09-16T15:54:00+0200] [ALPM] removed simple-scan (44.0-2)
[2023-09-16T15:54:00+0200] [ALPM] removed colord-sane (1.4.6-1)
[2023-09-16T15:54:00+0200] [ALPM] removed sane (1.2.1-5)
[2023-09-16T15:54:00+0200] [ALPM] removed net-snmp (5.9.1-8)
[2023-09-16T15:54:00+0200] [ALPM] removed libieee1284 (0.2.11-15)
[2023-09-16T15:54:00+0200] [ALPM] removed rygel (1:0.42.4-1)
[2023-09-16T15:54:00+0200] [ALPM] removed gst-editing-services (1.22.5-2)
[2023-09-16T15:54:00+0200] [ALPM] removed orca (44.1-1)
[2023-09-16T15:54:00+0200] [ALPM] removed xorg-xmodmap (1.0.11-1)
[2023-09-16T15:54:00+0200] [ALPM] removed speech-dispatcher (0.11.5-1)
[2023-09-16T15:54:00+0200] [ALPM] removed python-pyxdg (0.28-2)
[2023-09-16T15:54:00+0200] [ALPM] removed libao (1.2.2-6)
[2023-09-16T15:54:00+0200] [ALPM] removed dotconf (1.3-7)
[2023-09-16T15:54:00+0200] [ALPM] removed python-setproctitle (1.3.2-2)
[2023-09-16T15:54:00+0200] [ALPM] removed python-atspi (2.46.0-2)
[2023-09-16T15:54:00+0200] [ALPM] removed libwnck3 (43.0-3)
[2023-09-16T15:54:00+0200] [ALPM] removed libxres (1.2.2-1)
[2023-09-16T15:54:00+0200] [ALPM] removed brltty (6.6-2)
[2023-09-16T15:54:00+0200] [ALPM-SCRIPTLET] '/etc/brlapi.key' is removed
[2023-09-16T15:54:00+0200] [ALPM] removed libspeechd (0.11.5-1)
[2023-09-16T15:54:00+0200] [ALPM] removed liblouis (3.27.0-1)
[2023-09-16T15:54:00+0200] [ALPM] removed nautilus (44.2.1-1)
[2023-09-16T15:54:00+0200] [ALPM] removed libnautilus-extension (44.2.1-1)
[2023-09-16T15:54:00+0200] [ALPM] removed malcontent (0.11.1-2)
[2023-09-16T15:54:00+0200] [ALPM] removed flatpak (1:1.15.4-1)
[2023-09-16T15:54:00+0200] [ALPM] removed xdg-desktop-portal (1.16.0-3)
[2023-09-16T15:54:00+0200] [ALPM] removed xdg-desktop-portal-gnome (44.2-1)
[2023-09-16T15:54:00+0200] [ALPM] removed xdg-desktop-portal-gtk (1.14.1-1)
[2023-09-16T15:54:00+0200] [ALPM] removed ostree (2023.6-3)
[2023-09-16T15:54:00+0200] [ALPM] removed gvfs-smb (1.50.6-1)
[2023-09-16T15:54:00+0200] [ALPM] removed gvfs-nfs (1.50.6-1)
[2023-09-16T15:54:00+0200] [ALPM] removed libnfs (5.0.2-1)
